,Unnamed: 0,counts,year,month,day,hour,minute
0,0,0.803030303030303,2023,10,10,17,43
1,1,0.0151515151515151,2023,12,13,20,51
2,2,0.0151515151515151,2023,12,12,12,59
3,3,0.0151515151515151,2023,12,10,13,40
4,4,0.0151515151515151,2023,12,10,1,21
5,5,0.0303030303030303,2023,12,9,2,56
6,6,0.0151515151515151,2023,12,8,14,26
7,7,0.0151515151515151,2023,12,7,20,46
8,8,0.0303030303030303,2023,12,6,17,19
9,9,0.0151515151515151,2023,12,4,1,40
10,10,0.0151515151515151,2023,12,3,22,36
11,11,0.0454545454545454,2023,12,1,11,11
12,12,0.0606060606060606,2023,11,25,18,40
13,13,0.0151515151515151,2023,11,25,12,26
14,14,0.0151515151515151,2023,11,25,9,50
15,15,0.0151515151515151,2023,11,25,7,36
16,16,0.0303030303030303,2023,11,23,13,28
17,17,0.0151515151515151,2023,11,20,4,27
18,18,0.0151515151515151,2023,11,19,14,11
19,19,0.0151515151515151,2023,11,18,11,6
20,20,0.0151515151515151,2023,11,16,20,5
21,21,0.0151515151515151,2023,11,16,1,29
22,22,0.0151515151515151,2023,11,15,17,15
23,23,0.0151515151515151,2023,11,14,17,40
24,24,0.0151515151515151,2023,11,14,5,6
25,25,0.0151515151515151,2023,11,13,17,8
26,26,0.0454545454545454,2023,11,13,16,33
27,27,0.0151515151515151,2023,11,13,12,5
28,28,0.0151515151515151,2023,11,13,0,51
29,29,0.0303030303030303,2023,11,13,0,36
30,30,0.0151515151515151,2023,11,12,18,32
31,31,0.0151515151515151,2023,11,12,17,21
32,32,0.0303030303030303,2023,11,12,6,8
33,33,0.0151515151515151,2023,11,12,1,49
34,34,0.0303030303030303,2023,11,12,1,44
35,35,0.0151515151515151,2023,11,11,23,21
36,36,0.0757575757575757,2023,11,11,16,35
37,37,0.0303030303030303,2023,11,11,4,25
38,38,0.0303030303030303,2023,11,11,4,25
39,39,0.0454545454545454,2023,11,10,19,23
40,40,0.0303030303030303,2023,11,10,14,5
41,41,0.0454545454545454,2023,11,10,12,33
42,42,0.0303030303030303,2023,11,9,9,44
43,43,0.0454545454545454,2023,11,8,20,34
44,44,0.0303030303030303,2023,11,8,14,25
45,45,0.0151515151515151,2023,11,8,13,52
46,46,0.0454545454545454,2023,11,8,12,18
47,47,0.0454545454545454,2023,11,8,10,48
48,48,0.0303030303030303,2023,11,6,19,8
49,49,0.0303030303030303,2023,11,6,8,34
50,50,0.0151515151515151,2023,11,4,6,21
51,51,0.0151515151515151,2023,11,4,1,51
52,52,0.0151515151515151,2023,11,3,17,43
53,53,0.0151515151515151,2023,11,2,15,30
54,54,0.0151515151515151,2023,11,24,21,41
55,55,0.0151515151515151,2023,10,22,17,39
56,56,0.0151515151515151,2023,10,11,22,5
57,57,0.0151515151515151,2023,9,25,11,16
58,58,0.0151515151515151,2023,9,13,15,27
59,59,0.0151515151515151,2023,7,17,21,27
60,60,0.0151515151515151,2023,7,14,17,10
61,61,0.0151515151515151,2023,6,15,5,9
62,62,0.0151515151515151,2023,5,12,0,29
63,63,0.0909090909090909,2023,5,3,18,51
64,64,0.0303030303030303,2023,4,28,14,13
65,65,0.0151515151515151,2023,4,25,5,25
66,66,0.1363636363636363,2023,4,18,12,16
67,67,0.0303030303030303,2023,4,10,16,47
68,68,0.106060606060606,2023,3,29,22,28
69,69,0.1363636363636363,2023,3,26,11,6
70,70,0.0151515151515151,2023,3,15,2,55
71,71,0.0151515151515151,2023,2,27,13,17
72,72,0.0151515151515151,2023,2,25,2,5
73,73,0.0303030303030303,2023,1,29,14,10
74,74,0.0303030303030303,2022,12,23,11,30
75,75,0.0151515151515151,2022,11,26,17,19
76,76,0.0151515151515151,2022,10,12,14,23
77,77,0.0151515151515151,2022,9,29,12,44
78,78,0.0151515151515151,2022,9,26,10,50
79,79,0.803030303030303,2022,8,28,4,40
80,80,0.0151515151515151,2022,7,26,7,23
81,81,0.5757575757575758,2022,7,26,5,35
82,82,0.0151515151515151,2022,7,23,18,2
83,83,0.0757575757575757,2022,6,27,7,16
84,84,0.1818181818181818,2022,5,27,0,15
85,85,0.0151515151515151,2022,5,24,14,45
86,86,0.1969696969696969,2022,5,21,15,52
87,87,0.0151515151515151,2022,5,11,12,56
88,88,0.0151515151515151,2022,5,5,17,0
89,89,0.106060606060606,2022,3,9,6,47
90,90,0.0454545454545454,2022,3,1,15,9
91,91,0.0151515151515151,2022,3,1,15,8
92,92,0.0151515151515151,2022,2,28,13,29
93,93,0.0151515151515151,2022,1,14,1,0
94,94,0.0606060606060606,2021,12,18,12,39
95,95,0.0757575757575757,2021,12,14,10,46
96,96,0.0151515151515151,2021,12,14,9,24
97,97,0.0454545454545454,2021,12,3,11,56
98,98,0.2424242424242424,2021,9,25,6,43
99,99,0.0303030303030303,2021,9,25,4,36
100,100,0.0303030303030303,2023,12,13,9,40
101,101,0.0606060606060606,2023,12,10,18,54
102,102,0.0151515151515151,2023,12,8,12,34
103,103,0.0151515151515151,2023,12,4,16,48
104,104,0.0151515151515151,2023,12,2,19,58
105,105,0.0151515151515151,2023,12,2,7,5
106,106,0.0151515151515151,2023,12,2,6,46
107,107,0.0303030303030303,2023,12,1,5,7
108,108,0.0454545454545454,2023,12,1,5,0
109,109,0.0454545454545454,2023,11,30,10,37
110,110,0.0151515151515151,2023,11,29,14,41
111,111,0.106060606060606,2023,11,29,5,43
112,112,0.0303030303030303,2023,11,27,3,46
113,113,0.0151515151515151,2023,11,26,0,46
114,114,0.0151515151515151,2023,11,25,18,25
115,115,0.0303030303030303,2023,11,25,16,25
116,116,0.0151515151515151,2023,11,25,9,51
117,117,0.0303030303030303,2023,11,24,11,42
118,118,0.0303030303030303,2023,11,21,1,57
119,119,0.0303030303030303,2023,11,19,20,20
120,120,0.0151515151515151,2023,11,19,17,51
121,121,0.0303030303030303,2023,11,19,15,26
122,122,0.0151515151515151,2023,11,13,22,55
123,123,0.0151515151515151,2023,11,13,7,58
124,124,0.0151515151515151,2023,11,13,3,14
125,125,0.0151515151515151,2023,11,12,6,47
126,126,0.0303030303030303,2023,11,12,0,47
127,127,0.0151515151515151,2023,11,11,18,26
128,128,0.0303030303030303,2023,11,11,9,30
129,129,0.0303030303030303,2023,11,10,9,1
130,130,0.0151515151515151,2023,11,10,1,46
131,131,0.0303030303030303,2023,11,9,10,2
132,132,0.0151515151515151,2023,12,8,10,35
133,133,0.0757575757575757,2023,12,6,1,6
134,134,0.0606060606060606,2023,11,17,10,48
135,135,0.0151515151515151,2023,11,10,14,29
136,136,0.0151515151515151,2023,11,9,20,17
137,137,0.1212121212121212,2023,10,26,10,49
138,138,0.0151515151515151,2023,10,18,6,55
139,139,0.0151515151515151,2023,10,10,1,21
140,140,0.0303030303030303,2023,10,8,3,24
141,141,0.1363636363636363,2023,9,29,21,39
142,142,0.0151515151515151,2023,9,28,23,35
143,143,0.106060606060606,2023,9,25,23,53
144,144,0.0454545454545454,2023,9,23,16,14
145,145,0.0454545454545454,2023,9,23,1,19
146,146,0.0606060606060606,2023,9,22,15,38
147,147,0.106060606060606,2023,9,18,4,23
148,148,0.0757575757575757,2023,9,7,21,13
149,149,0.3787878787878788,2023,9,5,18,48
150,150,0.0454545454545454,2023,9,5,4,38
151,151,0.0151515151515151,2023,9,5,4,38
152,152,0.0151515151515151,2023,9,2,15,10
153,153,0.0303030303030303,2023,8,30,19,19
154,154,0.0757575757575757,2023,8,28,22,28
155,155,1.0,2023,8,27,10,8
156,156,0.2121212121212121,2023,8,26,1,37
157,157,0.0151515151515151,2023,8,22,23,24
158,158,0.0757575757575757,2023,8,21,6,19
159,159,0.0151515151515151,2023,8,21,4,46
160,160,0.0454545454545454,2023,8,21,4,46
161,161,0.5757575757575758,2023,8,17,21,57
162,162,0.0454545454545454,2023,8,17,1,29
163,163,0.0454545454545454,2023,8,16,13,39
164,164,0.0151515151515151,2023,8,12,4,25
165,165,0.1363636363636363,2023,8,5,12,35
166,166,0.0303030303030303,2023,7,30,22,33
167,167,0.0303030303030303,2023,7,27,8,20
168,168,0.1666666666666666,2023,7,27,6,47
169,169,0.106060606060606,2023,7,26,20,5
170,170,0.5909090909090909,2023,10,10,18,2
171,171,0.0151515151515151,2023,12,13,12,15
172,172,0.0151515151515151,2023,12,8,20,29
173,173,0.0151515151515151,2023,11,24,7,31
174,174,0.0303030303030303,2023,11,21,13,48
175,175,0.0303030303030303,2023,11,19,15,11
176,176,0.0151515151515151,2023,11,19,1,34
177,177,0.0151515151515151,2023,11,14,21,46
178,178,0.0151515151515151,2023,11,13,8,24
179,179,0.0151515151515151,2023,11,12,21,50
180,180,0.0151515151515151,2023,11,12,21,21
181,181,0.0151515151515151,2023,11,12,19,54
182,182,0.0151515151515151,2023,11,11,6,29
183,183,0.0303030303030303,2023,11,10,13,42
184,184,0.0151515151515151,2023,11,10,8,0
185,185,0.0151515151515151,2023,11,9,0,46
186,186,0.0151515151515151,2023,11,6,16,2
187,187,0.0151515151515151,2023,11,6,8,12
188,188,0.0151515151515151,2023,11,2,3,29
189,189,0.0151515151515151,2023,10,23,18,55
190,190,0.6212121212121212,2022,2,23,1,36
191,191,0.0151515151515151,2023,11,11,10,27
192,192,0.0151515151515151,2023,11,8,22,42
193,193,0.0303030303030303,2023,8,29,4,40
194,194,0.0151515151515151,2023,7,10,11,42
195,195,0.0151515151515151,2023,7,5,18,32
196,196,0.0151515151515151,2023,6,5,2,33
197,197,0.2424242424242424,2023,4,28,17,39
198,198,0.0151515151515151,2023,3,21,3,8
199,199,0.0151515151515151,2023,3,20,3,50
200,200,0.0151515151515151,2023,1,27,11,30
201,201,0.0151515151515151,2023,1,26,9,2
202,202,0.0151515151515151,2022,12,25,2,44
203,203,0.0303030303030303,2022,12,15,16,46
204,204,0.0151515151515151,2022,12,9,2,14
205,205,0.0151515151515151,2022,12,7,2,16
206,206,0.0151515151515151,2022,12,4,9,30
207,207,0.0151515151515151,2022,11,18,11,45
208,208,0.0151515151515151,2022,11,4,19,14
209,209,0.0151515151515151,2022,10,23,15,58
210,210,0.0303030303030303,2022,10,14,20,21
211,211,0.0151515151515151,2022,10,12,16,28
212,212,0.0151515151515151,2022,10,12,16,22
213,213,0.0151515151515151,2022,9,25,10,54
214,214,0.0151515151515151,2022,9,23,16,23
215,215,0.0151515151515151,2022,9,22,18,37
216,216,0.0303030303030303,2022,9,22,16,38
217,217,0.0151515151515151,2022,9,22,13,45
218,218,0.106060606060606,2022,9,18,19,28
219,219,0.0151515151515151,2022,9,17,22,0
220,220,0.0151515151515151,2022,9,17,13,16
221,221,0.0151515151515151,2022,9,17,11,56
222,222,0.0151515151515151,2022,9,14,10,22
223,223,0.0303030303030303,2022,8,26,3,16
224,224,0.1818181818181818,2022,8,25,0,13
225,225,0.0151515151515151,2022,8,24,12,56
226,226,0.0151515151515151,2022,8,20,5,2
227,227,0.0909090909090909,2022,8,17,6,19
228,228,0.0151515151515151,2023,8,25,20,47
229,229,0.0151515151515151,2023,8,3,5,0
230,230,0.0454545454545454,2023,7,31,20,24
231,231,0.0151515151515151,2023,7,5,22,8
232,232,0.0151515151515151,2023,7,5,21,3
233,233,0.0454545454545454,2023,6,5,12,19
234,234,0.0151515151515151,2023,6,4,6,46
235,235,0.0151515151515151,2023,5,27,20,52
236,236,0.0151515151515151,2023,5,25,11,56
237,237,0.0151515151515151,2023,5,24,14,53
238,238,0.0151515151515151,2023,5,22,4,16
239,239,0.0151515151515151,2023,5,21,13,39
240,240,0.0303030303030303,2023,5,21,13,29
241,241,0.106060606060606,2023,5,21,10,15
242,242,0.0151515151515151,2023,5,21,2,13
243,243,0.0303030303030303,2023,5,20,19,9
244,244,0.0151515151515151,2023,5,20,16,40
245,245,0.0303030303030303,2023,5,20,15,25
246,246,0.0454545454545454,2023,5,20,12,34
247,247,0.0151515151515151,2023,5,20,11,26
248,248,0.0151515151515151,2023,5,20,10,42
249,249,0.0303030303030303,2023,5,20,9,26
250,250,0.0303030303030303,2023,5,20,7,26
251,251,0.2424242424242424,2023,10,10,17,46
252,252,0.0303030303030303,2023,12,9,4,51
